id,category,room,name,description,x,y,z
0,classroom,102-101,classroom,-,2460,248,1
1,classroom,102-102,classroom,-,2318,290,1
2,classroom,102-s103,classroom,-,2244,259,1
3,classroom,102-e101,classroom,-,2206,318,1
4,classroom,104-e206,classroom,-,2179,378,1
5,classroom,104-e102,classroom,-,2143,599,1
6,classroom,104-e103,classroom,-,1993,786,1
7,classroom,106-e205,classroom,-,1859,805,1
8,classroom,106-e104,classroom,-,1771,887,1
9,classroom,106-t101,classroom,-,1689,964,1
10,classroom,106-t102,classroom,-,1738,1031,1
11,elevator,-,customer elevator 102,-,2418,278,1
12,toilet,-,102 1st floor toilet,-,2325,242,1
13,stair,-,102 stair 1,-,2313,223,1
14,sbox,-,Relief Goods Storage,-,2381,228,1
15,etc,-,jungbinggi,-,2126,493,1
16,stair,-,104 stair 1,-,2163,516,1
17,toilet,-,104 1st floor toilet,-,2070,690,1
18,stair,-,center stair,-,2059,670,1
19,elevator,-,customer elevator 104,-,2047,688,1
20,addto,-,addtopaper,-,1894,802,1
21,stair,-,106 stair 1,-,1921,824,1
22,toilet,-,106 1st floor toilet,-,1692,1046,1
23,etc,-,restroom,-,1667,1108,1
24,stair,-,106 stair 2,-,1671,1043,1
25,door,-,102 door 1,-,2337,167,1
26,door,-,102 door 2,-,2211,215,1
27,door,-,1st 102104 door,-,2026,449,1
28,door,-,1st 104106 door,-,1819,710,1
29,door,-,106 door 1,-,1646,954,1
30,door,-,106 door 2,-,1621,1075,1
31,etc,102-201,-,-,2433,281,2
32,etc,102-201-1,Women's Lounge,-,2433,281,2
33,etc,102-201-2,Korea Medical Docter,-,2433,281,2
34,etc,102-201-3,-,-,2433,281,2
35,office,102-201-4,UMCL,-,2433,281,2
36,office,102-201-5,UMCL,-,2433,281,2
37,etc,102-201-6,-,-,2433,281,2
38,office,102-201-7,Associate Prof.,Jeongkon Seo,2433,281,2
39,etc,102-201-8,Meeting Room of UCRF,-,2433,281,2
40,office,102-201-9,Associate Prof.,Huyoung Jeong,2433,281,2
41,office,102-201-10,Director of UCRF,Taejoo Shin,2433,281,2
42,office,102-201-11,UCRF Administration Office,-,2433,281,2
43,etc,102-202,storage room,-,2433,281,2
44,office,102-203,UEAC,-,2433,281,2
45,classroom,102-s204,classroom,-,2369,329,2
46,classroom,102-s205,classroom,-,2329,312,2
47,classroom,104-e206,classroom,-,2244,500,2
48,classroom,106-e205,classroom,-,1954,855,2
49,classroom,102-s206,classroom,-,2263,283,2
50,classroom,102-s207,classroom,-,2309,215,2
51,etc,102-s208,Counseling Room,-,2370,240,2
52,office,102-s209,UMCL,-,2399,256,2
53,classroom,102-e207,classroom,-,2293,357,2
54,etc,102-e208,Conference Room,-,2338,379,2
55,etc,104-e201,Student Affairs Team,-,2207,610,2
56,etc,104-e202,Safety team,-,2061,792,2
57,classroom,106-e204,classroom,-,1863,904,2
58,etc,106-e203,Meeting Room,-,1895,945,2
59,classroom,106-t201,classroom,-,1754,1108,2
60,classroom,106-t202,classroom,-,1720,1065,2
61,classroom,106-t203,classroom,-,1694,1025,2
62,classroom,106-t204,classroom,-,1737,929,2
63,classroom,106-t205,classroom,-,1778,991,2
64,classroom,106-t206,classroom,-,1806,1027,2
65,stair,-,102 stair 1,-,2273,230,2
66,elevator,-,customer elevator 102,-,2358,276,2
67,toilet,-,102 2nd floor toilet,-,2285,247,2
68,sbox,-,safety box,-,2331,459,2
69,cafe,-,pandorosi,-,2062,694,2
70,stair,-,104 stair 1,-,2206,525,2
71,stair,-,center stair,-,2050,618,2
72,toilet,-,104 2nd floor toilet,-,2054,642,2
73,elevator,-,customer elevator 104,-,2115,689,2
74,sbox,-,safety box,-,2006,886,2
75,stair,-,106 stair 1,-,1970,814,2
